contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,spread,moneyness
AAPL250620P00060000,2025-05-02 13:46:53+00:00,60.0,0.01,0.0,0.21,0.0,0.0,112.0,2042.0,4.5859417675781255,False,REGULAR,USD,put,2025-06-20,0.21,2.3069999694824217
AAPL250620P00065000,2025-05-23 14:14:56+00:00,65.0,0.01,0.0,0.0,0.0,0.0,4.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,2.0526153564453127
AAPL250620P00070000,2025-05-23 17:35:03+00:00,70.0,0.01,0.0,0.0,0.0,0.0,969.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,1.8345714024135045
AAPL250620P00075000,2025-05-30 19:59:38+00:00,75.0,0.01,0.0,0.0,0.0,0.0,34.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,1.6455999755859374
AAPL250620P00080000,2025-06-11 15:53:59+00:00,80.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,1.4802499771118165
AAPL250620P00085000,2025-06-13 17:14:15+00:00,85.0,0.01,0.0,0.0,0.0,0.0,5.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,1.3343529196346506
AAPL250620P00090000,2025-06-12 18:15:03+00:00,90.0,0.01,0.0,0.0,0.0,0.0,4.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,1.2046666463216147
AAPL250620P00095000,2025-06-09 19:57:29+00:00,95.0,0.01,0.0,0.0,0.0,0.0,500.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,1.0886315596731087
AAPL250620P00100000,2025-06-16 14:24:08+00:00,100.0,0.01,0.0,0.0,0.0,0.0,2.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,0.9841999816894531
AAPL250620P00105000,2025-06-09 17:45:10+00:00,105.0,0.01,0.0,0.0,0.0,0.0,3.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,0.8897142682756697
AAPL250620P00110000,2025-06-13 13:45:34+00:00,110.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,0.8038181651722301
AAPL250620P00115000,2025-06-13 18:55:20+00:00,115.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,0.7253912884256114
AAPL250620P00120000,2025-06-13 19:15:00+00:00,120.0,0.01,0.0,0.0,0.0,0.0,1501.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,0.653499984741211
AAPL250620P00125000,2025-06-16 15:06:19+00:00,125.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,0.5873599853515625
AAPL250620P00130000,2025-06-13 19:28:05+00:00,130.0,0.01,0.0,0.0,0.0,0.0,6.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,0.5263076782226562
AAPL250620P00135000,2025-06-13 19:37:55+00:00,135.0,0.01,0.0,0.0,0.0,0.0,553.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,0.4697777642144097
AAPL250620P00140000,2025-06-16 13:50:12+00:00,140.0,0.01,0.0,0.0,0.0,0.0,17.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,0.41728570120675224
AAPL250620P00145000,2025-06-16 18:22:26+00:00,145.0,0.01,0.0,0.0,0.0,0.0,81.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,0.3684137804754849
AAPL250620P00150000,2025-06-16 19:27:28+00:00,150.0,0.01,0.0,0.0,0.0,0.0,286.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,0.32279998779296876
AAPL250620P00155000,2025-06-16 19:43:53+00:00,155.0,0.02,0.0,0.0,0.0,0.0,1225.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,0.2801290204448085
AAPL250620P00160000,2025-06-16 19:52:11+00:00,160.0,0.02,0.0,0.0,0.0,0.0,446.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,0.2401249885559082
AAPL250620P00165000,2025-06-16 19:45:35+00:00,165.0,0.02,0.0,0.0,0.0,0.0,423.0,0.0,0.500005,False,REGULAR,USD,put,2025-06-20,0.0,0.20254544344815342
AAPL250620P00170000,2025-06-16 19:58:08+00:00,170.0,0.03,0.0,0.0,0.0,0.0,523.0,0.0,0.2500075,False,REGULAR,USD,put,2025-06-20,0.0,0.16717645981732537
AAPL250620P00172500,2025-06-16 19:57:03+00:00,172.5,0.04,0.0,0.0,0.0,0.0,112.0,0.0,0.2500075,False,REGULAR,USD,put,2025-06-20,0.0,0.1502608589504076
AAPL250620P00175000,2025-06-16 19:56:17+00:00,175.0,0.05,0.0,0.0,0.0,0.0,1441.0,0.0,0.2500075,False,REGULAR,USD,put,2025-06-20,0.0,0.1338285609654018
AAPL250620P00177500,2025-06-16 19:53:36+00:00,177.5,0.07,0.0,0.0,0.0,0.0,1560.0,0.0,0.2500075,False,REGULAR,USD,put,2025-06-20,0.0,0.1178591446137764
AAPL250620P00180000,2025-06-16 19:59:33+00:00,180.0,0.08,0.0,0.0,0.0,0.0,2511.0,0.0,0.2500075,False,REGULAR,USD,put,2025-06-20,0.0,0.10233332316080729
AAPL250620P00182500,2025-06-16 19:50:02+00:00,182.5,0.09,0.0,0.0,0.0,0.0,2163.0,0.0,0.2500075,False,REGULAR,USD,put,2025-06-20,0.0,0.0872328666791524
AAPL250620P00185000,2025-06-16 19:57:52+00:00,185.0,0.12,0.0,0.0,0.0,0.0,3543.0,0.0,0.12500875,False,REGULAR,USD,put,2025-06-20,0.0,0.07254053064294763
AAPL250620P00187500,2025-06-16 19:59:52+00:00,187.5,0.17,0.0,0.0,0.0,0.0,3342.0,0.0,0.12500875,False,REGULAR,USD,put,2025-06-20,0.0,0.058239990234375
AAPL250620P00190000,2025-06-16 19:59:54+00:00,190.0,0.28,0.0,0.0,0.0,0.0,9055.0,0.0,0.12500875,False,REGULAR,USD,put,2025-06-20,0.0,0.04431577983655428
AAPL250620P00192500,2025-06-16 19:59:51+00:00,192.5,0.52,0.0,0.0,0.0,0.0,11148.0,0.0,0.062509375,False,REGULAR,USD,put,2025-06-20,0.0,0.03075323724127435
AAPL250620P00195000,2025-06-16 19:59:57+00:00,195.0,0.94,0.0,0.0,0.0,0.0,30352.0,0.0,0.0312596875,False,REGULAR,USD,put,2025-06-20,0.0,0.0175384521484375
AAPL250620P00197500,2025-06-16 19:59:56+00:00,197.5,1.73,0.0,0.0,0.0,0.0,19010.0,0.0,0.01563484375,False,REGULAR,USD,put,2025-06-20,0.0,0.004658218576938291
AAPL250620P00200000,2025-06-16 19:59:58+00:00,200.0,2.99,0.0,0.0,0.0,0.0,7569.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,put,2025-06-20,0.0,-0.007900009155273438
AAPL250620P00202500,2025-06-16 19:59:53+00:00,202.5,4.75,0.0,0.0,0.0,0.0,775.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,put,2025-06-20,0.0,-0.020148157190393517
AAPL250620P00205000,2025-06-16 19:57:20+00:00,205.0,7.12,0.0,0.0,0.0,0.0,766.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,put,2025-06-20,0.0,-0.03209756990758384
AAPL250620P00207500,2025-06-16 19:53:52+00:00,207.5,9.56,0.0,0.0,0.0,0.0,230.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,put,2025-06-20,0.0,-0.04375904496893825
AAPL250620P00210000,2025-06-16 19:58:13+00:00,210.0,11.92,0.0,0.0,0.0,0.0,705.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,put,2025-06-20,0.0,-0.05514286586216518
AAPL250620P00212500,2025-06-16 19:36:12+00:00,212.5,14.25,0.0,0.0,0.0,0.0,56.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,put,2025-06-20,0.0,-0.0662588321461397
AAPL250620P00215000,2025-06-16 19:56:57+00:00,215.0,16.83,0.0,0.0,0.0,0.0,14455.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,put,2025-06-20,0.0,-0.07711628758630087
AAPL250620P00217500,2025-06-16 17:16:42+00:00,217.5,19.9,0.0,0.0,0.0,0.0,15.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,put,2025-06-20,0.0,-0.08772414634967672
